timestamp,equipment_tag,tp2_pressure_bar,tp3_pressure_bar,t_motor_deg_c,t_compressor_deg_c,t_ambient_deg_c,vibration_rms_mms,motor_current_amp,oil_level_status,anomaly_flag,failure_label
2026-08-24 08:00:00,K-101,9.45,8.80,68.5,72.4,31.2,1.85,6.2,Normal,0,
2026-08-24 08:15:00,K-101,9.42,8.78,69.1,73.0,31.5,1.92,6.3,Normal,0,
2026-08-24 08:30:00,K-101,9.40,8.75,70.2,74.1,32.0,2.05,6.4,Normal,0,
2026-08-24 08:45:00,K-101,9.38,8.72,71.0,74.8,32.4,2.15,6.5,Normal,0,
2026-08-24 09:00:00,K-101,9.35,8.70,72.5,76.0,33.0,2.30,6.6,Normal,0,
2026-08-24 09:15:00,K-101,8.90,8.10,88.4,92.5,33.5,4.85,7.9,Low,1,Bearing Degradation
2026-08-24 09:30:00,K-101,8.75,7.95,95.6,98.2,34.0,5.42,8.4,Low,1,Bearing Degradation
2026-08-24 09:45:00,K-101,8.50,7.60,112.4,118.0,34.2,6.18,9.2,Critical,1,Bearing Degradation
2026-08-24 10:00:00,P-101,10.20,9.80,65.0,68.0,31.0,1.40,5.5,Normal,0,
2026-08-24 10:15:00,P-101,10.15,9.75,66.2,69.1,31.4,1.45,5.6,Normal,0,
2026-08-24 10:30:00,P-101,10.10,9.70,72.0,74.5,32.0,1.80,5.8,Normal,0,
2026-08-24 10:45:00,P-101,9.80,9.20,114.5,116.0,33.0,3.20,7.1,Normal,1,Motor Overheat
2026-08-24 11:00:00,P-101,9.50,8.90,130.2,132.5,33.5,3.60,7.8,Normal,1,Motor Overheat
2026-08-24 11:15:00,P-204,7.80,7.40,62.0,64.0,30.5,1.20,4.8,Normal,0,
2026-08-24 11:30:00,P-204,7.75,7.35,62.5,64.5,31.0,1.25,4.9,Normal,0,
2026-08-24 11:45:00,P-204,6.10,5.40,64.0,65.0,31.2,1.30,4.5,Normal,1,Air Leak
